cultivar,stage,biorep,fruit_weight,v_perimeter,h_perimeter,v_diameter,h_diameter,rind_thickness,flesh_thickness,ssc,firmness
Melona,15,A,378,30.5,25.7,11.1,8,0.1,1.9,5,36.75
Melona,15,B,409,31.5,27,11.4,8.5,0.1,1.7,6,36.31
Melona,15,C,387,30,27.5,10.4,8.9,0.1,1.9,5,41.56
Melona,30,A,771,38.6,34.1,13.9,10.6,0.2,2.6,6,33.43
Melona,30,B,797,39.5,33.9,14.7,10.7,0.2,2.8,6,29.77
Melona,30,C,841,40.7,34.6,14.2,11.1,0.2,2.9,6,30.35
Melona,M,A,1277,46.6,38.5,17.3,12.6,0.2,3.6,12,33.94
Melona,M,B,1003,45.2,36.6,16.7,11.2,0.2,2.9,11,34.19
Melona,M,C,914,41.6,35.9,14.7,10.6,0.2,2.6,11,33.3
Tacapa G,15,A,485,32.9,35.7,9.7,10.6,0.1,3.1,4.5,59.08
Tacapa G,15,B,671,35,36,9.9,11.4,0.1,3,5,57.28
Tacapa G,15,C,579,31.1,31.9,9.8,9.4,0.1,2.9,5,59.62
Tacapa G,30,A,793,36.2,38.2,10.5,12.1,0.1,3.9,5,43.4
Tacapa G,30,B,761,36.3,37.3,10.2,11.9,0.1,3.5,5,45.69
Tacapa G,30,C,823,37.1,38.4,10.5,12.3,0.1,4,5,56.2
Tacapa G,M,A,1748,48.1,49.6,13.3,15.3,0.2,4.2,8,47.6
Tacapa G,M,B,1628,47,49.5,12.8,15.2,0.2,3.9,8,49.11
Tacapa G,M,C,1204,42.3,44.5,12.3,14.1,0.2,3.9,9,41.71
GMP,15,A,168,22,22.7,6.6,7.1,0.1,1.3,4,33.01
GMP,15,B,166,22.1,22.5,6.7,7,0.1,1.2,3,26.33
GMP,15,C,153,21.7,21.7,6.5,6.8,0.1,1.1,3,31.58
GMP,30,A,177,22.9,23.3,7.1,7.2,0.1,1.3,6,27.18
GMP,30,B,169,21.9,22.6,6.7,6.8,0.1,1.2,5,26.11
GMP,30,C,159,21.6,22.5,6.7,7,0.1,1.3,5,24.45
GMP,M,A,193,22.4,22.8,7.2,7.6,0.1,1.6,8,21.7
GMP,M,B,194,23.2,23.1,7.1,7.3,0.1,1.5,8,22.78
GMP,M,C,167,22,22.3,6.6,6.9,0.1,1.4,7,25.22
Kinaya,15,A,503,32.7,29.7,10.9,9.4,0.1,2.6,4,65.1
Kinaya,15,B,534,33.4,30.9,11,9.6,0.1,2.7,4,66.05
Kinaya,15,C,720,37,34.5,12.5,10.8,0.1,3.1,4,64.76
Kinaya,30,A,1078,41.7,41.3,12.8,12.9,0.5,4,9,51.96
Kinaya,30,B,1220,43.1,42.7,13.4,13.3,0.5,3.9,9,52.59
Kinaya,30,C,1377,45.3,44.1,14.4,14.9,0.6,4.1,9,51.27
Kinaya,M,A,1276,44,41.6,13.8,12.9,0.8,3.9,11,41.81
Kinaya,M,B,1164,42,42.5,12.6,12.9,0.6,3.7,10,41.06
Kinaya,M,C,1499,46.6,44.1,15.4,13.9,0.6,4.2,9,46.43
