cultivar,stage,gene,n_bio_reps,mean_fc,se_fc,sd_fc
Melona,15,CmACS,3,1,0,0
Melona,30,CmACS,3,37.690514418485584,7.299856153907823,12.643721746512682
Melona,M,CmACS,3,16333.811628432513,7600.618076085426,13164.656676706367
Melona,15,CmACO,3,1,0,0
Melona,30,CmACO,3,17.89750525667067,14.656451358141581,25.385718410963094
Melona,M,CmACO,3,77.03325990959809,47.09971745957915,81.57910366213002
Melona,15,CmATH,3,1,0,0
Melona,30,CmATH,3,5.437885930427178,2.485551708909084,4.305101844670181
Melona,M,CmATH,3,12.019802777742198,7.007661527603696,12.137625808055335
Melona,15,CmEREBP,3,1,0,0
Melona,30,CmEREBP,3,2.665959360219811,0.7714744352546851,1.3362329186016206
Melona,M,CmEREBP,3,7.311902909318432,2.75457282485802,4.771060085802617
GMP,15,CmACS,3,1,0,0
GMP,30,CmACS,3,330.07366274099303,207.72860972620538,359.79650623143414
GMP,M,CmACS,3,929.4447442365447,18.85696623866668,32.661223601981675
GMP,15,CmACO,3,1,0,0
GMP,30,CmACO,3,6.282282036465082,2.981465045438985,5.164048939690973
GMP,M,CmACO,3,11.258336506636459,2.394977831316938,4.14822328684206
GMP,15,CmATH,3,1,0,0
GMP,30,CmATH,3,8.360416494210993,5.4865339647570925,9.502955584411596
GMP,M,CmATH,3,8.935136220320071,4.028148485997509,6.976957838179335
GMP,15,CmEREBP,3,1,0,0
GMP,30,CmEREBP,3,5.173535097682536,2.0622931479219604,3.571996512301993
GMP,M,CmEREBP,3,23.577988099356816,9.362296670828108,16.215973509407235
Kinaya,15,CmACS,3,1,0,0
Kinaya,30,CmACS,3,2.285171607916998,1.237176074471754,2.142851818893695
Kinaya,M,CmACS,3,4.3910763571435085,1.1709140286737294,2.0280825889580605
Kinaya,15,CmACO,3,1,0,0
Kinaya,30,CmACO,3,7.258185111262315,1.7715077245055357,3.068341384844317
Kinaya,M,CmACO,3,1.3042784974619024,0.3167027866963666,0.5485453174567556
Kinaya,15,CmATH,3,1,0,0
Kinaya,30,CmATH,3,5.1565038498080495,3.3444318083211932,5.792725814461763
Kinaya,M,CmATH,3,26.083350786259953,22.72164527921641,39.35504405516035
Kinaya,15,CmEREBP,3,1,0,0
Kinaya,30,CmEREBP,3,3.5099467844600634,1.304430286926196,2.2593395318878198
Kinaya,M,CmEREBP,3,5.642768015278358,0.4531501396149495,0.7848790652700227
Tacapa,15,CmACS,3,1,0,0
Tacapa,30,CmACS,3,5.74083535518212,1.9977504504096397,3.4602052809531045
Tacapa,M,CmACS,3,8.905402702283236,5.874772715281019,10.175404825786096
Tacapa,15,CmACO,3,1,0,0
Tacapa,30,CmACO,3,2.3784186826689413,1.5034416506905153,2.6040373252111926
Tacapa,M,CmACO,3,2.5111943176185245,0.2672905174428257,0.4629607565923493
Tacapa,15,CmATH,3,1,0,0
Tacapa,30,CmATH,3,4.478541881317625,4.041578686204605,7.0002196272938475
Tacapa,M,CmATH,3,13.083198845383135,12.476547036410729,21.610013370086286
Tacapa,15,CmEREBP,3,1,0,0
Tacapa,30,CmEREBP,3,4.5550016726465055,1.516150873402396,2.6260503446728785
Tacapa,M,CmEREBP,3,7.711236876607659,4.318015556102014,7.479022331041468
