cultivar,target,n_wells,mean_efficiency,sd_efficiency,mean_r2,efficiency_pct,efficiency_flag
gmp,CmACO,18,2.0210428845656763,0.13448173191752905,0.9985511402609115,102.1,OK
gmp,CmACS,18,1.96720006845133,0.0488550709459696,0.998733398525294,96.7,OK
gmp,CmATH,18,2.032476710328957,0.16696075726253032,0.9984650442717843,103.2,OK
gmp,CmCYP,18,1.9786740679314958,0.07140831072568458,0.9984234430708108,97.9,OK
gmp,CmEREBP,18,2.020779945118356,0.06970901053676339,0.9983369882259766,102.1,OK
kinaya,CmACO,18,2.034062890897547,0.08636365139304927,0.9986315587088792,103.4,OK
kinaya,CmACS,18,1.9716205695517748,0.0657782986650117,0.9988032702460137,97.2,OK
kinaya,CmATH,18,2.0857499258813657,0.15807364517658826,0.9991145147230481,108.6,OK
kinaya,CmCYP,18,2.058950504846881,0.15602972707768292,0.9982583975798291,105.9,OK
kinaya,CmEREBP,18,2.0405025269979875,0.10558715385397455,0.998095609575457,104.1,OK
melona,CmACO,18,2.038559910742888,0.11055021034249511,0.9976465370180108,103.9,OK
melona,CmACS,18,1.9778813395047405,0.09875215844997796,0.9991389331160414,97.8,OK
melona,CmATH,18,2.078253172626484,0.1707474539660238,0.9983052047831257,107.8,OK
melona,CmCYP,18,2.022294295246841,0.1499402777931091,0.998543563687656,102.2,OK
melona,CmEREBP,18,2.0781559897018576,0.1669962064623966,0.9981569222110439,107.8,OK
tacapa,CmACO,18,2.038605379304289,0.08315554484382731,0.9987355918460359,103.9,OK
tacapa,CmACS,18,1.9737590653746104,0.06895678921836117,0.9986457349045461,97.4,OK
tacapa,CmATH,18,2.033659110184951,0.11074075766993985,0.998685246448662,103.4,OK
tacapa,CmCYP,18,1.9837188695631227,0.07239688581836232,0.9985359483657301,98.4,OK
tacapa,CmEREBP,18,2.0050518074508,0.060988996868766264,0.9984097076879728,100.5,OK
