cultivar,gene,comparison,estimate,conf.low,conf.high,adj.p.value,sig
GMP,CmACO,30-15,2.352923054859845,0.5362159633165033,4.169630146403187,0.01723183248334681,*
GMP,CmACO,M-15,3.4125722018995805,1.5958651103562387,5.229279293442922,0.0028766528560802973,**
GMP,CmACO,M-30,1.0596491470397353,-0.7570579445036065,2.876356238583077,0.25094559583943143,ns
GMP,CmACS,30-15,7.587472403980735,4.69812743289461,10.47681737506686,4.793412422887666e-4,***
GMP,CmACS,M-15,9.859621725525862,6.9702767544397375,12.748966696611987,1.0983757317406528e-4,***
GMP,CmACS,M-30,2.272149321545127,-0.6171956495409971,5.161494292631252,0.11407607620569715,ns
GMP,CmATH,30-15,2.4240592620485044,-0.48056497680460986,5.328683500901619,0.09449651030778772,ns
GMP,CmATH,M-15,2.8466043038889435,-0.058019934964170794,5.751228542742058,0.05392952436480236,ns
GMP,CmATH,M-30,0.4225450418404386,-2.4820791970126757,3.327169280693553,0.8977883173977401,ns
GMP,CmEREBP,30-15,2.1633739186108785,0.11257978513872313,4.214168052083034,0.04069890810313259,*
GMP,CmEREBP,M-15,4.303795811663086,2.253001678190931,6.354589945135242,0.0016137259620984112,**
GMP,CmEREBP,M-30,2.1404218930522076,0.08962775958005231,4.191216026524363,0.04243202202908536,*
Kinaya,CmACO,30-15,2.781568110500667,1.4879870543721396,4.075149166629194,0.0014183477681392054,**
Kinaya,CmACO,M-15,0.2813375105899268,-1.0122435455386005,1.574918566718454,0.7900029808332111,ns
Kinaya,CmACO,M-30,-2.5002305999107404,-3.7938116560392676,-1.2066495437822131,0.0024829405711992436,**
Kinaya,CmACS,30-15,0.6023052460261653,-2.198892597236795,3.403503089289126,0.7940578854954319,ns
Kinaya,CmACS,M-15,1.9957377979730513,-0.8054600452899092,4.796935641236011,0.15237986950593396,ns
Kinaya,CmACS,M-30,1.3934325519468858,-1.4077652913160748,4.194630395209846,0.34470470105226436,ns
Kinaya,CmATH,30-15,1.692686548550691,-3.2430833904833536,6.628456487584736,0.5744394429685457,ns
Kinaya,CmATH,M-15,2.9875733650446885,-1.9481965739893563,7.923343304078733,0.23079541790137492,ns
Kinaya,CmATH,M-30,1.2948868164939977,-3.640883122540047,6.2306567555280425,0.7139082744496271,ns
Kinaya,CmEREBP,30-15,1.4649736187894493,-0.5622719368390554,3.4922191744179543,0.14642946132047197,ns
Kinaya,CmEREBP,M-15,2.486745316480699,0.45949976085219424,4.513990872109204,0.021856648678167834,*
Kinaya,CmEREBP,M-30,1.0217716976912496,-1.005473857937255,3.0490172533197546,0.33663119232427985,ns
Melona,CmACO,30-15,2.9580903816764326,-1.1401276083157836,7.056308371668649,0.1469133924889653,ns
Melona,CmACO,M-15,5.648788766420026,1.5505707764278096,9.747006756412242,0.013014137530612202,*
Melona,CmACO,M-30,2.6906983847435932,-1.407519605248623,6.788916374735809,0.18945559064260575,ns
Melona,CmACS,30-15,5.185988431529165,1.7781911086895463,8.593785754368785,0.008187264393924698,**
Melona,CmACS,M-15,13.195196224337872,9.787398901498253,16.60299354717749,5.309939831965593e-5,***
Melona,CmACS,M-30,8.009207792808706,4.601410469969087,11.417005115648324,8.798022435133612e-4,***
Melona,CmATH,30-15,1.7631219202745714,-2.799656725240453,6.3259005657895955,0.5028450790601842,ns
Melona,CmATH,M-15,2.665110763163685,-1.8976678823513393,7.22788940867871,0.25016949325619997,ns
Melona,CmATH,M-30,0.9019888428891139,-3.6607898026259105,5.464767488404139,0.8219391456119499,ns
Melona,CmEREBP,30-15,1.3038296816492785,-0.5470247804671029,3.15468414376566,0.15722637134136686,ns
Melona,CmEREBP,M-15,2.622453007405284,0.7715985452889027,4.473307469521665,0.011461499679959464,*
Melona,CmEREBP,M-30,1.3186233257560056,-0.5322311363603758,3.169477787872387,0.15239083151686805,ns
Tacapa,CmACO,30-15,0.614411756295936,-1.8358439334679386,3.064667446059811,0.7339165729604792,ns
Tacapa,CmACO,M-15,1.312376811179833,-1.1378788785840417,3.762632500943708,0.2999421876591688,ns
Tacapa,CmACO,M-30,0.697965054883897,-1.7522906348799778,3.1482207446477717,0.6747509857792254,ns
Tacapa,CmACS,30-15,2.290594914127524,-0.5454343050599495,5.126624133314998,0.10495714935351885,ns
Tacapa,CmACS,M-15,2.503508078371691,-0.33252114081578243,5.339537297559165,0.0783430438723759,ns
Tacapa,CmACS,M-30,0.21291316424416706,-2.6231160549433064,3.0489423834316405,0.9713117148844246,ns
Tacapa,CmATH,30-15,0.4106666772717965,-6.03042320357274,6.8517565581163336,0.9791966496245219,ns
Tacapa,CmATH,M-15,1.266210831535464,-5.174879049309073,7.70730071238,0.8236727633023756,ns
Tacapa,CmATH,M-30,0.8555441542636676,-5.585545726580869,7.296634035108204,0.9137826468603395,ns
Tacapa,CmEREBP,30-15,2.0249866188012198,-0.2725334588340118,4.322506696436451,0.07876073313859877,ns
Tacapa,CmEREBP,M-15,2.504938045960448,0.20741796832521642,4.802458123595679,0.035704425820649255,*
Tacapa,CmEREBP,M-30,0.47995142715922823,-1.8175686504760034,2.77747150479446,0.8040165496405984,ns
